n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,22.113238,151.666660,79.217101,5.000000,76.289744,2.072644,24.940270,1.039859
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,22.890885,190.548255,79.981775,10.000000,76.289744,6.307970,75.904253,3.164751
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,23.089045,228.850362,80.740722,15.000000,76.289744,10.549022,126.937141,5.292516
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,23.283785,267.149050,81.505229,20.000000,76.289744,14.784515,177.903134,7.417492
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,23.478052,305.447264,82.275354,25.000000,76.289744,19.014391,228.801535,9.539650
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,23.671865,343.745025,83.051095,30.000000,76.289744,23.238649,279.632341,11.658989
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,23.865232,382.042339,83.832454,35.000000,76.289744,27.457290,330.395553,13.775510
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,24.058157,420.339211,84.619430,40.000000,76.289744,31.670314,381.091172,15.889213
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,24.250646,458.635648,85.412024,45.000000,76.289744,35.877720,431.719199,18.000098
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,24.442705,496.931655,86.210234,50.000000,76.289744,40.079510,482.279635,20.108164
